date,Pets_SE
2018-01-07,47
2018-01-14,47
2018-01-21,48
2018-01-28,61
2018-02-04,59
2018-02-11,34
2018-02-18,51
2018-02-25,49
2018-03-04,88
2018-03-11,40
2018-03-18,52
2018-03-25,67
2018-04-01,52
2018-04-08,50
2018-04-15,28
2018-04-22,30
2018-04-29,41
2018-05-06,38
2018-05-13,62
2018-05-20,39
2018-05-27,44
2018-06-03,53
2018-06-10,29
2018-06-17,45
2018-06-24,52
2018-07-01,50
2018-07-08,51
2018-07-15,56
2018-07-22,55
2018-07-29,57
2018-08-05,67
2018-08-12,82
2018-08-19,76
2018-08-26,59
2018-09-02,60
2018-09-09,44
2018-09-16,63
2018-09-23,70
2018-09-30,74
2018-10-07,53
2018-10-14,44
2018-10-21,56
2018-10-28,59
2018-11-04,57
2018-11-11,48
2018-11-18,58
2018-11-25,56
2018-12-02,66
2018-12-09,51
2018-12-16,73
2018-12-23,67
2018-12-30,44
2019-01-06,55
2019-01-13,45
2019-01-20,59
2019-01-27,61
2019-02-03,68
2019-02-10,64
2019-02-17,62
2019-02-24,72
2019-03-03,68
2019-03-10,86
2019-03-17,52
2019-03-24,71
2019-03-31,47
2019-04-07,39
2019-04-14,55
2019-04-21,56
2019-04-28,70
2019-05-05,44
2019-05-12,37
2019-05-19,67
2019-05-26,37
2019-06-02,44
2019-06-09,36
2019-06-16,66
2019-06-23,49
2019-06-30,62
2019-07-07,53
2019-07-14,72
2019-07-21,37
2019-07-28,36
2019-08-04,64
2019-08-11,87
2019-08-18,49
2019-08-25,100
2019-09-01,87
2019-09-08,77
2019-09-15,75
2019-09-22,80
2019-09-29,55
2019-10-06,64
2019-10-13,56
2019-10-20,55
2019-10-27,82
2019-11-03,44
2019-11-10,57
2019-11-17,53
2019-11-24,75
2019-12-01,57
2019-12-08,42
2019-12-15,65
2019-12-22,62
2019-12-29,51
2020-01-05,87
2020-01-12,58
2020-01-19,100
2020-01-26,76
2020-02-02,72
2020-02-09,58
2020-02-16,91
2020-02-23,60
2020-03-01,65
2020-03-08,56
