date,Crafts_RU
2018-01-07,22
2018-01-14,31
2018-01-21,25
2018-01-28,18
2018-02-04,23
2018-02-11,27
2018-02-18,23
2018-02-25,30
2018-03-04,21
2018-03-11,25
2018-03-18,25
2018-03-25,22
2018-04-01,18
2018-04-08,31
2018-04-15,29
2018-04-22,26
2018-04-29,20
2018-05-06,18
2018-05-13,22
2018-05-20,20
2018-05-27,13
2018-06-03,21
2018-06-10,22
2018-06-17,14
2018-06-24,11
2018-07-01,22
2018-07-08,11
2018-07-15,24
2018-07-22,21
2018-07-29,22
2018-08-05,21
2018-08-12,14
2018-08-19,21
2018-08-26,32
2018-09-02,42
2018-09-09,44
2018-09-16,49
2018-09-23,30
2018-09-30,41
2018-10-07,62
2018-10-14,54
2018-10-21,55
2018-10-28,48
2018-11-04,65
2018-11-11,75
2018-11-18,65
2018-11-25,81
2018-12-02,100
2018-12-09,32
2018-12-16,32
2018-12-23,38
2018-12-30,35
2019-01-06,34
2019-01-13,37
2019-01-20,37
2019-01-27,56
2019-02-03,48
2019-02-10,62
2019-02-17,55
2019-02-24,50
2019-03-03,39
2019-03-10,52
2019-03-17,54
2019-03-24,48
2019-03-31,32
2019-04-07,48
2019-04-14,42
2019-04-21,36
2019-04-28,35
2019-05-05,38
2019-05-12,30
2019-05-19,28
2019-05-26,25
2019-06-02,26
2019-06-09,46
2019-06-16,38
2019-06-23,23
2019-06-30,28
2019-07-07,30
2019-07-14,29
2019-07-21,38
2019-07-28,19
2019-08-04,31
2019-08-11,30
2019-08-18,25
2019-08-25,21
2019-09-01,36
2019-09-08,42
2019-09-15,28
2019-09-22,41
2019-09-29,44
2019-10-06,33
2019-10-13,21
2019-10-20,35
2019-10-27,40
2019-11-03,29
2019-11-10,24
2019-11-17,37
2019-11-24,32
2019-12-01,32
2019-12-08,29
2019-12-15,39
2019-12-22,48
2019-12-29,31
2020-01-05,32
2020-01-12,38
2020-01-19,35
2020-01-26,32
2020-02-02,33
2020-02-09,33
2020-02-16,26
2020-02-23,35
2020-03-01,22
2020-03-08,40
