date,Game_DE
2018-01-07,47
2018-01-14,46
2018-01-21,48
2018-01-28,48
2018-02-04,51
2018-02-11,51
2018-02-18,50
2018-02-25,48
2018-03-04,46
2018-03-11,47
2018-03-18,49
2018-03-25,51
2018-04-01,49
2018-04-08,44
2018-04-15,42
2018-04-22,45
2018-04-29,46
2018-05-06,45
2018-05-13,42
2018-05-20,45
2018-05-27,47
2018-06-03,46
2018-06-10,70
2018-06-17,100
2018-06-24,89
2018-07-01,65
2018-07-08,54
2018-07-15,45
2018-07-22,41
2018-07-29,41
2018-08-05,42
2018-08-12,44
2018-08-19,43
2018-08-26,47
2018-09-02,46
2018-09-09,42
2018-09-16,46
2018-09-23,46
2018-09-30,51
2018-10-07,43
2018-10-14,47
2018-10-21,50
2018-10-28,51
2018-11-04,50
2018-11-11,49
2018-11-18,50
2018-11-25,52
2018-12-02,50
2018-12-09,53
2018-12-16,54
2018-12-23,65
2018-12-30,55
2019-01-06,43
2019-01-13,49
2019-01-20,49
2019-01-27,46
2019-02-03,43
2019-02-10,42
2019-02-17,42
2019-02-24,41
2019-03-03,46
2019-03-10,43
2019-03-17,42
2019-03-24,40
2019-03-31,44
2019-04-07,43
2019-04-14,45
2019-04-21,47
2019-04-28,47
2019-05-05,44
2019-05-12,43
2019-05-19,40
2019-05-26,42
2019-06-02,40
2019-06-09,44
2019-06-16,41
2019-06-23,40
2019-06-30,38
2019-07-07,40
2019-07-14,39
2019-07-21,40
2019-07-28,42
2019-08-04,43
2019-08-11,46
2019-08-18,46
2019-08-25,45
2019-09-01,43
2019-09-08,45
2019-09-15,46
2019-09-22,46
2019-09-29,52
2019-10-06,48
2019-10-13,46
2019-10-20,50
2019-10-27,52
2019-11-03,51
2019-11-10,52
2019-11-17,55
2019-11-24,52
2019-12-01,53
2019-12-08,59
2019-12-15,61
2019-12-22,68
2019-12-29,59
2020-01-05,47
2020-01-12,49
2020-01-19,51
2020-01-26,50
2020-02-02,52
2020-02-09,48
2020-02-16,51
2020-02-23,48
2020-03-01,49
2020-03-08,46
