date,Learning_SA
2018-01-07,63
2018-01-14,69
2018-01-21,63
2018-01-28,69
2018-02-04,89
2018-02-11,58
2018-02-18,72
2018-02-25,85
2018-03-04,75
2018-03-11,65
2018-03-18,70
2018-03-25,80
2018-04-01,63
2018-04-08,90
2018-04-15,65
2018-04-22,59
2018-04-29,81
2018-05-06,67
2018-05-13,56
2018-05-20,55
2018-05-27,31
2018-06-03,52
2018-06-10,36
2018-06-17,57
2018-06-24,44
2018-07-01,47
2018-07-08,61
2018-07-15,44
2018-07-22,58
2018-07-29,72
2018-08-05,57
2018-08-12,54
2018-08-19,51
2018-08-26,67
2018-09-02,79
2018-09-09,84
2018-09-16,75
2018-09-23,100
2018-09-30,88
2018-10-07,81
2018-10-14,86
2018-10-21,77
2018-10-28,97
2018-11-04,91
2018-11-11,80
2018-11-18,72
2018-11-25,65
2018-12-02,68
2018-12-09,78
2018-12-16,70
2018-12-23,60
2018-12-30,63
2019-01-06,52
2019-01-13,71
2019-01-20,60
2019-01-27,89
2019-02-03,59
2019-02-10,73
2019-02-17,85
2019-02-24,60
2019-03-03,87
2019-03-10,82
2019-03-17,66
2019-03-24,94
2019-03-31,66
2019-04-07,82
2019-04-14,39
2019-04-21,57
2019-04-28,37
2019-05-05,41
2019-05-12,48
2019-05-19,64
2019-05-26,55
2019-06-02,29
2019-06-09,47
2019-06-16,58
2019-06-23,67
2019-06-30,53
2019-07-07,46
2019-07-14,46
2019-07-21,45
2019-07-28,54
2019-08-04,52
2019-08-11,42
2019-08-18,56
2019-08-25,62
2019-09-01,71
2019-09-08,77
2019-09-15,94
2019-09-22,87
2019-09-29,77
2019-10-06,94
2019-10-13,63
2019-10-20,79
2019-10-27,78
2019-11-03,61
2019-11-10,70
2019-11-17,58
2019-11-24,70
2019-12-01,75
2019-12-08,79
2019-12-15,59
2019-12-22,58
2019-12-29,43
2020-01-05,41
2020-01-12,58
2020-01-19,56
2020-01-26,85
2020-02-02,74
2020-02-09,63
2020-02-16,73
2020-02-23,73
2020-03-01,79
2020-03-08,68
