date,Cooking_CL
2018-01-07,71
2018-01-14,59
2018-01-21,65
2018-01-28,56
2018-02-04,61
2018-02-11,50
2018-02-18,63
2018-02-25,62
2018-03-04,43
2018-03-11,56
2018-03-18,47
2018-03-25,65
2018-04-01,35
2018-04-08,40
2018-04-15,62
2018-04-22,59
2018-04-29,69
2018-05-06,55
2018-05-13,59
2018-05-20,65
2018-05-27,65
2018-06-03,51
2018-06-10,64
2018-06-17,54
2018-06-24,51
2018-07-01,65
2018-07-08,61
2018-07-15,64
2018-07-22,59
2018-07-29,47
2018-08-05,65
2018-08-12,68
2018-08-19,56
2018-08-26,52
2018-09-02,67
2018-09-09,65
2018-09-16,82
2018-09-23,64
2018-09-30,61
2018-10-07,50
2018-10-14,63
2018-10-21,61
2018-10-28,59
2018-11-04,61
2018-11-11,62
2018-11-18,56
2018-11-25,52
2018-12-02,49
2018-12-09,63
2018-12-16,63
2018-12-23,96
2018-12-30,71
2019-01-06,73
2019-01-13,62
2019-01-20,62
2019-01-27,52
2019-02-03,48
2019-02-10,48
2019-02-17,54
2019-02-24,54
2019-03-03,67
2019-03-10,61
2019-03-17,64
2019-03-24,56
2019-03-31,60
2019-04-07,71
2019-04-14,83
2019-04-21,62
2019-04-28,66
2019-05-05,65
2019-05-12,61
2019-05-19,61
2019-05-26,60
2019-06-02,59
2019-06-09,74
2019-06-16,62
2019-06-23,56
2019-06-30,49
2019-07-07,63
2019-07-14,62
2019-07-21,66
2019-07-28,75
2019-08-04,60
2019-08-11,60
2019-08-18,53
2019-08-25,49
2019-09-01,59
2019-09-08,69
2019-09-15,86
2019-09-22,74
2019-09-29,56
2019-10-06,56
2019-10-13,65
2019-10-20,61
2019-10-27,67
2019-11-03,60
2019-11-10,81
2019-11-17,59
2019-11-24,51
2019-12-01,64
2019-12-08,50
2019-12-15,67
2019-12-22,100
2019-12-29,82
2020-01-05,58
2020-01-12,64
2020-01-19,54
2020-01-26,58
2020-02-02,56
2020-02-09,66
2020-02-16,63
2020-02-23,58
2020-03-01,57
2020-03-08,62
