date,Music_ES
2018-01-07,91
2018-01-14,99
2018-01-21,96
2018-01-28,96
2018-02-04,91
2018-02-11,92
2018-02-18,99
2018-02-25,90
2018-03-04,96
2018-03-11,91
2018-03-18,90
2018-03-25,88
2018-04-01,85
2018-04-08,86
2018-04-15,91
2018-04-22,93
2018-04-29,91
2018-05-06,90
2018-05-13,92
2018-05-20,88
2018-05-27,93
2018-06-03,94
2018-06-10,89
2018-06-17,95
2018-06-24,87
2018-07-01,85
2018-07-08,85
2018-07-15,93
2018-07-22,95
2018-07-29,89
2018-08-05,84
2018-08-12,86
2018-08-19,88
2018-08-26,86
2018-09-02,84
2018-09-09,94
2018-09-16,97
2018-09-23,91
2018-09-30,100
2018-10-07,96
2018-10-14,93
2018-10-21,91
2018-10-28,91
2018-11-04,93
2018-11-11,94
2018-11-18,95
2018-11-25,92
2018-12-02,95
2018-12-09,90
2018-12-16,89
2018-12-23,91
2018-12-30,91
2019-01-06,90
2019-01-13,85
2019-01-20,87
2019-01-27,87
2019-02-03,92
2019-02-10,91
2019-02-17,95
2019-02-24,89
2019-03-03,85
2019-03-10,92
2019-03-17,92
2019-03-24,96
2019-03-31,87
2019-04-07,90
2019-04-14,83
2019-04-21,79
2019-04-28,81
2019-05-05,88
2019-05-12,93
2019-05-19,86
2019-05-26,88
2019-06-02,92
2019-06-09,90
2019-06-16,99
2019-06-23,88
2019-06-30,85
2019-07-07,85
2019-07-14,89
2019-07-21,84
2019-07-28,85
2019-08-04,84
2019-08-11,84
2019-08-18,84
2019-08-25,79
2019-09-01,81
2019-09-08,82
2019-09-15,86
2019-09-22,85
2019-09-29,87
2019-10-06,88
2019-10-13,81
2019-10-20,83
2019-10-27,84
2019-11-03,90
2019-11-10,86
2019-11-17,87
2019-11-24,88
2019-12-01,91
2019-12-08,87
2019-12-15,86
2019-12-22,90
2019-12-29,88
2020-01-05,79
2020-01-12,84
2020-01-19,83
2020-01-26,82
2020-02-02,86
2020-02-09,87
2020-02-16,87
2020-02-23,79
2020-03-01,85
2020-03-08,74
