,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
IDN,0.05396537658926523,-0.04246374760957974,0.043598672847372934,0.12310073955765809,0.10678596027444583,0.17962385769731443,0.19112156815687356,0.027004707814171466,0.293505868265533,0.06611676433583048,0.059893804053938696,0.3039999306554679,0.13248037236658958,0.276195002334098,0.06306200265792948,0.2788122817010892,-0.04445462250732233,-0.006464208578578627,0.2428691072228491,0.25889998722718777,0.08467490497236563,1.0,0.03571227289510977,0.10148398334413532,0.10198304778022853,0.07872944558898505,-0.018358805036565857,0.10724936534306691,-0.1234629019317586,0.13985219370535387,0.25904885025575225,0.06320996468159289,0.07584647984805032,0.2241519613423605,-0.1892522857840939,0.18630682164923354,-0.2751527316386951,0.4069207971579868,0.17865561492710405,0.0013533816843394435,0.11793877814224485,0.18776967508953885,0.11248957633145107,0.04356194580303538,0.15853389130641335,0.2563462924448907,0.18415116613929325,0.02288190734292433,0.05726235302213739,-0.17850677095655296
IND,0.026065047773243217,-0.24666943821991202,0.1278342068768331,-0.09631175002838446,-0.0901539329282342,0.04024711553437776,-0.016591477022531234,0.0028761517562367485,-0.08062321638492768,0.14364130426855296,0.06809715861266805,-0.06326681329846516,-0.12657689771244873,-0.126392545060628,-0.12267648694941541,-0.08307157835883064,-0.0555224565305932,-0.09561848548827963,-0.11424609241920036,-0.05353369299352992,0.048692099967256694,0.03571227289510977,1.0,-0.01719107827404692,0.03998870322023983,-0.07600458405808304,-0.2546694133869044,0.0027440622133381933,0.032433607415713,0.05040567006975883,0.20579157936148404,-0.0012030604359610296,-0.21899039422022745,-0.13454175770276372,0.20011264725416497,0.467732939480171,-0.029606380331208295,0.15770770393545985,-0.29621883534945037,-0.1535751902884036,-0.28948141624934975,-0.2150298367570009,0.03518130053274953,0.23563420506665958,-0.1779907180254567,-0.01647320599849313,-0.23530946751988552,0.04098961443606159,-0.5616892147815833,0.14745283485359204
IRL,0.2759542906237327,0.10631755419723145,0.5057934261778663,0.15494142899379698,0.11041177147228158,0.14668380207076798,-0.11017831779904647,0.636733388128309,0.3013675400986322,-0.12357228561227053,0.17306408904889134,-0.045235939278431794,-0.014599979954007402,0.3414703427256943,0.05216852686700805,0.33163396895483377,0.1719642617947442,0.07810162908014613,0.3703888294085377,0.7038089097932676,0.05975743497317416,0.10148398334413532,-0.01719107827404692,1.0,-0.19516453078474363,0.07237679703000524,0.11331135042480932,0.026205168387816207,0.22904102099982343,0.1688534158547259,0.0481265385136193,-0.13930586526378694,0.08101277274208699,0.12545691864189798,0.07006419931705633,-0.02736696822950978,0.05969028481832592,0.2574657849069253,0.06625234398384937,0.02805789945032776,0.18357971634867995,0.4813964835424918,0.24313928224928164,0.09261447074770313,-0.1053330661422906,0.1565085827824515,0.25846118022971254,0.6368790995631657,-0.029809029898442967,0.07737200435171593
IRN,-0.19844104174499033,-0.08125702596171218,-0.05306683901777871,-0.05307663889692153,-0.00755953889872024,-0.12110684827556113,0.028646496644306088,-0.21561292922972622,-0.12164628614839687,0.09318472977156561,-0.09283190297278537,0.07555276553432158,0.03009921627893687,-0.03324318189270384,-0.13317113760463378,-0.03497037163449914,-0.0851256294147068,0.0056275208907802104,-0.1180480319809189,-0.18909220703220755,0.07735862737567947,0.10198304778022853,0.03998870322023983,-0.19516453078474363,1.0,-0.13994369229510262,-0.01088231502624567,-0.024377133703616834,0.05211029847620611,0.037410615021309115,0.10187613013540535,0.006299815854663052,-0.117943802125073,-0.044965310802009106,-0.06929618710692863,-0.014641878655256289,-0.1966435508785955,0.1059644932840103,-0.050496463013225246,0.07094590098471314,-0.1463338707784335,-0.1422690176904054,-0.22025995759574357,0.09424581533839466,0.004351516474672141,0.023241157694313414,-0.15481093772390098,-0.1831975393454903,0.059565866462210945,0.005380564510912779
ISR,0.042424477003523996,0.1251237300954316,0.08199694039733621,0.039476316110573985,-0.021806233269082747,0.08297882352519191,0.14286876158167516,0.01576469143556104,0.15092561001403812,-0.027714162615198254,-0.05479853803852496,0.06024241352187926,0.11545394763434298,0.14708377286709146,0.2923833157947302,0.015341485664064992,-0.060637016084081334,0.09449188181314051,0.1361854555291145,0.09343212233065454,0.11311291959613881,0.07872944558898505,-0.07600458405808304,0.07237679703000524,-0.13994369229510262,1.0,0.2511352912468823,0.016982778314543902,-0.09838556308838094,0.02444818934008665,-0.010395302036465161,-0.001979270041796136,0.13542772067149178,0.0665714609457169,-0.0501684661772472,0.1323907049064485,0.11566251669318242,0.11711542376035729,0.23755639657050248,0.12499998497838997,0.31402709906694215,0.21730419574751472,0.08555934960162669,0.057346768188945255,0.1787768646231721,0.03402521358960353,0.1719683867383866,0.03762414471861898,-0.10304077520676803,0.010313789354354626
ITA,0.155523448688217,0.2832773810826239,-0.05272187480401293,0.1881604651088002,0.04109320320177878,0.09461452379267858,0.22785084514587542,0.03630241066785083,0.032762112972318846,-0.2018223151791971,0.11949585179468347,-0.019976198653397486,0.2879407889180986,0.13606180347858213,0.10778076225099376,-0.10989941066956152,0.18168400867529333,0.22744587016603732,0.17807104998574508,0.12631112241838396,-0.011863203134765578,-0.018358805036565857,-0.2546694133869044,0.11331135042480932,-0.01088231502624567,0.2511352912468823,1.0,-0.027729550807408753,0.04257215507263385,0.02944658453447421,0.009835503573816858,0.022555258536378655,0.3800175715649152,0.11034541523423735,-0.23485227107992712,0.025789848849217686,0.07813889919690023,-0.11756213028208587,0.33945208476331196,0.3405127766581717,0.2953210818724327,0.3418553650353404,0.16545219215400406,-0.01848864330972852,0.28357164976645005,-0.0063485259897804675,0.3755316861800883,0.01700465536167255,-0.01560181101350478,-0.014023155308041779
JPN,0.2077697346652019,0.18146932452243342,0.12437239558229775,-0.1505599767442711,0.10916130202185469,0.029594707005600712,0.25501331348273476,0.1465041037041429,0.08793180660296479,0.05995557428631028,0.1256737820303995,0.20926915850901198,0.06493747146660922,0.23317098693475027,0.013161066638549332,0.03800830455618677,0.13319991499562336,0.023978493321285266,0.022456270632676696,0.11393103679083215,-0.06059660230586663,0.10724936534306691,0.0027440622133381933,0.026205168387816207,-0.024377133703616834,0.016982778314543902,-0.027729550807408753,1.0,0.31657851569640844,0.15450464017556598,0.16952582808000963,0.1793670144013511,0.1126917533649249,0.21892975446366056,0.025610950943100504,0.05716190820508111,0.35616316519046304,0.10840617468318722,0.21157454216123903,-0.011305311765142847,0.24854382836615974,0.05131283678569659,0.13549122041365463,0.1302763611841006,-0.0330313017461886,0.15925489169209353,0.15781249422124582,0.04950713704792474,0.027975957674336045,0.19444874554685823
KOR,0.18421718880487925,0.089253644747913,0.3121239870634418,-0.07911635815914239,0.1072348320821341,0.11042995979736345,0.21483436605511258,0.2968004839445972,0.023915164762039177,0.076107623241337,0.07953561558063639,-0.008847222857798251,0.0012411184069537678,0.025999721837179388,0.013085278537658993,0.21960008279321927,0.09340909800433504,0.12955476523302686,-0.048451112029479694,0.26664639995651734,-0.053444330789440435,-0.1234629019317586,0.032433607415713,0.22904102099982343,0.05211029847620611,-0.09838556308838094,0.04257215507263385,0.31657851569640844,1.0,0.08341167597334918,-0.01964669816816209,0.07037139302611709,0.1749119152424624,0.05572721646110711,0.07420315570950663,0.015903708272974472,0.3163518257317517,0.08402954356561883,0.05018077147993222,0.1172292882730496,0.03762935491152218,0.20841937369954663,0.15490825003306674,0.05331035053859428,0.013585070315652772,-0.01932439846239919,0.2232145635861188,0.2701348102213799,0.11943790186157605,0.18486833251652648
MEX,0.3076051657395156,0.223209147348659,-0.0794822198988703,0.03798824268509071,0.15462445291235605,0.059359027163539704,0.21860183140412265,0.03065631012025588,0.1932136442767813,-0.13650732132256002,0.039936055120815904,0.31442748675357096,0.051263786861298455,0.36261152126994184,-0.005109115987241318,0.1265058659201234,0.048302317471929195,-0.03540674477192455,0.5435676224805979,0.10326112429993062,0.04145313587849173,0.13985219370535387,0.05040567006975883,0.1688534158547259,0.037410615021309115,0.02444818934008665,0.02944658453447421,0.15450464017556598,0.08341167597334918,1.0,0.14977207416501925,0.19868575998707413,0.19096917028066432,0.21691865251397968,-0.1533716194787163,0.18660375016589467,-0.06809309092604456,-0.030206869604249578,0.2040604127609765,-0.05388975947175175,0.1859353816469556,0.03639141551831164,0.4147074190478669,0.1595875160672795,-0.045042117485926604,0.012604144080997012,0.12100291076182097,-0.05658934498301585,-0.1822189569508587,0.17435776735521508
MYS,0.06708370510696288,0.06702264878046851,-0.10349930256711248,-0.03539922966139151,-0.03471278022132742,0.055259007921999614,0.30086290711033775,-0.07029069808086774,0.011841377313929955,0.0400242415411935,-0.12588718655394887,0.24421889178227307,0.11574024603507557,0.0827067553159369,-0.20285436281798044,0.14779717981616458,-0.02728274201278849,0.0267264575052897,0.14528999345751495,0.0016376584032389643,0.17537839246177203,0.25904885025575225,0.20579157936148404,0.0481265385136193,0.10187613013540535,-0.010395302036465161,0.009835503573816858,0.16952582808000963,-0.01964669816816209,0.14977207416501925,1.0,0.0014482805158967562,-0.0004730876403376052,0.031325591279007844,-0.041809829936766116,0.20724858926094028,-0.006201576505842993,0.2539515089483488,0.15404355827149593,-0.02385412424495531,0.038197925808956215,0.07493514698876778,-0.11710909710108129,0.0837294067663142,0.05387846351418398,0.157308360212146,0.0762878202430698,-0.07063877139716603,-0.13177391401784538,0.06440577227422743
